,Image,Mask
0,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_003.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_003.nii.gz
1,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_009.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_009.nii.gz
2,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_010.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_010.nii.gz
3,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_011.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_011.nii.gz
4,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_012.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_012.nii.gz
5,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_014.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_014.nii.gz
6,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_016.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_016.nii.gz
7,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_019.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_019.nii.gz
8,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_021.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_021.nii.gz
9,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_033.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_033.nii.gz
10,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_034.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_034.nii.gz
11,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_035.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_035.nii.gz
12,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\images\ID_037.nii.gz,D:\Dropbox\Dropbox\Noduli_Polmonari\Dataset\Local_Foggia\dataset_anonimo\masks\ID_037.nii.gz
